run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,reward_aware
ax1wm_cup_fq1s1_seed12,0.036675,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.038722785722582524,0.007770421786117757,0.007770421786117757,,0.04787984200496711,0.04444561299942468,0.03329535733887309,0.03329535733887309,0.04006887501096556,0
ax1wm_cup_fq1s1_seed12,0.109514,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.12480669833683715,0.03245989579735607,0.03245989579735607,,0.1592102168244708,0.14197438812048496,0.08697023320135557,0.08697023320135557,0.13433622788157265,0
ax1wm_cup_fq1s1_seed13,0.015565,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.021846120871854363,0.008697596077779868,0.008697596077779868,,0.02599820229740928,0.024262795627047907,0.01858693483774732,0.01858693483774732,0.022649755784373903,0
ax1wm_cup_fq1s1_seed13,0.021171,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.02736786010620733,0.009487559191997506,0.009487559191997506,,0.03224136065468784,0.03065811774853602,0.02548792342663704,0.02548792342663704,0.0278319841243556,0
ax1wm_cup_fq1s1_seed13,0.03878,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.04524014702952284,0.01251114724356101,0.01251114724356101,,0.056346408076141316,0.051291459074810704,0.03487904929522943,0.03487904929522943,0.04780986544679099,0
ax1wm_cup_fq1s1_seed13,0.12443,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.14548026697048116,0.040556172085830205,0.040556172085830205,,0.1868861658977038,0.16498613249343314,0.09509724865786533,0.09509724865786533,0.15816978381207367,0
ax1wm_cup_fq1s1_seed14,0.012288,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.015300774039143726,0.004920330137924854,0.004920330137924854,,0.01748027201942224,0.017208680600272454,0.016320407486546454,0.016320407486546454,0.015049357572660864,0
ax1wm_cup_fq1s1_seed14,0.017215,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.02054206441345307,0.006002598989357905,0.006002598989357905,,0.023259191106107555,0.023217555584241174,0.02308159177356724,0.02308159177356724,0.01991509880584383,0
ax1wm_cup_fq1s1_seed14,0.031587,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.03496431015926564,0.008306361148074799,0.008306361148074799,,0.042230309878326426,0.03989313685757742,0.03230480286405595,0.03230480286405595,0.03562391062367777,0
ax1wm_cup_fq1s1_seed14,0.110315,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.13134522727281403,0.03832301238087764,0.03832301238087764,,0.1688125917440137,0.14863847927869517,0.08425747233925479,0.08425747233925479,0.14320479581939638,0
ax1wm_cup_fq1s1_seed15,0.012726,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.018855849467587556,0.00810598458728217,0.00810598458728217,,0.02178659392897472,0.020831654927503745,0.01770840956536951,0.01770840956536951,0.019138779854435843,0
ax1wm_cup_fq1s1_seed15,0.017104,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.023762350087337132,0.009316269183562426,0.009316269183562426,,0.027203374906031613,0.02642065703213633,0.02386463515353636,0.02386463515353636,0.02373709766450989,0
ax1wm_cup_fq1s1_seed15,0.032233,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.040203510088500705,0.012999919862016167,0.012999919862016167,,0.048691304276467264,0.045233221179250556,0.03400551604742339,0.03400551604742339,0.04174071201882888,0
ax1wm_cup_fq1s1_seed15,0.112559,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.13801165290118658,0.043097198748154465,0.043097198748154465,,0.1715866611043988,0.15565668077518224,0.10481983846633049,0.10481983846633049,0.1463713761250065,0
ax1wm_cup_fq1s1_seed16,0.016841,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.021535706090748452,0.007309673016196907,0.007309673016196907,,0.025788232243221364,0.024150424892762708,0.018793774673733155,0.018793774673733155,0.02221179876891661,0
ax1wm_cup_fq1s1_seed16,0.023825,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.028791030770354952,0.008668565725004655,0.008668565725004655,,0.034267538564158054,0.0324938820095832,0.0267018781346058,0.0267018781346058,0.029306806608108478,0
ax1wm_cup_fq1s1_seed16,0.04371,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.04916880320663578,0.012278950267260131,0.012278950267260131,,0.06155056327157583,0.05598942140153375,0.03793350447942589,0.03793350447942589,0.05195533749124745,0
ax1wm_cup_fq1s1_seed16,0.127263,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.150188574276552,0.04287520140702189,0.04287520140702189,,0.1947522812599045,0.17013861742258699,0.09158981062676987,0.09158981062676987,0.16494731686748995,0
ax1wm_cup_fq1s1_seed2,0.012266,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.01620961092893547,0.005848401025154468,0.005848401025154468,,0.017906325859081043,0.018113982316592076,0.0187931482809516,0.0187931482809516,0.015572574321589025,0
ax1wm_cup_fq1s1_seed2,0.017377,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.021627400016150693,0.006951443395229351,0.006951443395229351,,0.02379577545435506,0.024328007721924578,0.026066050720271332,0.026066050720271332,0.02053157353308849,0
ax1wm_cup_fq1s1_seed2,0.034789,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.03869533401287416,0.009335229592662433,0.009335229592662433,,0.04663273472197529,0.044123766127843404,0.03597764622037195,0.03597764622037195,0.03936936417375789,0
ax1wm_cup_fq1s1_seed2,0.115808,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.13740973573158294,0.03975581556494527,0.03975581556494527,,0.17374603883675613,0.1555640427728169,0.09754041388814134,0.09754041388814134,0.14745126257811053,0
